method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
VAE+APA-RCA,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4360675811767578,9
APA-RCA-v2,A1_source_corruption,small,20,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5478858947753906,9
VAE+APA-RCA,A1_source_corruption,small,20,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.48089027404785156,9
APA-RCA-v2,A1_source_corruption,small,21,SRC_STOCK_1_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4990100860595703,9
VAE+APA-RCA,A1_source_corruption,small,21,SRC_STOCK_1_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.43320655822753906,9
APA-RCA-v2,A1_source_corruption,small,22,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47016143798828125,9
VAE+APA-RCA,A1_source_corruption,small,22,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.42629241943359375,9
APA-RCA-v2,A1_source_corruption,small,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.49686431884765625,9
VAE+APA-RCA,A1_source_corruption,small,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.44083595275878906,9
APA-RCA-v2,A1_source_corruption,small,24,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.49591064453125,9
VAE+APA-RCA,A1_source_corruption,small,24,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4420280456542969,9
APA-RCA-v2,A1_source_corruption,small,25,SRC_STOCK_2_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.4668235778808594,9
VAE+APA-RCA,A1_source_corruption,small,25,SRC_STOCK_2_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.42510032653808594,9
APA-RCA-v2,A1_source_corruption,small,26,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.45680999755859375,9
VAE+APA-RCA,A1_source_corruption,small,26,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4398822784423828,9
APA-RCA-v2,A1_source_corruption,small,27,SRC_STOCK_1_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.47397613525390625,9
VAE+APA-RCA,A1_source_corruption,small,27,SRC_STOCK_1_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.43702125549316406,9
APA-RCA-v2,A1_source_corruption,small,28,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5629062652587891,9
VAE+APA-RCA,A1_source_corruption,small,28,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47898292541503906,9
APA-RCA-v2,A1_source_corruption,small,29,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4570484161376953,9
VAE+APA-RCA,A1_source_corruption,small,29,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4329681396484375,9
APA-RCA-v2,A2_etl_logic_error,small,0,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5171298980712891,9
VAE+APA-RCA,A2_etl_logic_error,small,0,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.45871734619140625,9
APA-RCA-v2,A2_etl_logic_error,small,1,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.4839897155761719,9
VAE+APA-RCA,A2_etl_logic_error,small,1,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.4589557647705078,9
APA-RCA-v2,A2_etl_logic_error,small,2,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5040168762207031,9
VAE+APA-RCA,A2_etl_logic_error,small,2,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.4401206970214844,9
APA-RCA-v2,A2_etl_logic_error,small,3,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.4928112030029297,9
VAE+APA-RCA,A2_etl_logic_error,small,3,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.4630088806152344,9
APA-RCA-v2,A2_etl_logic_error,small,4,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5400180816650391,9
VAE+APA-RCA,A2_etl_logic_error,small,4,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.44798851013183594,9
APA-RCA-v2,A2_etl_logic_error,small,5,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.49996376037597656,9
VAE+APA-RCA,A2_etl_logic_error,small,5,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,11.0,0,0,0,0.09090909090909091,1.0,0.4677772521972656,9
APA-RCA-v2,A2_etl_logic_error,small,6,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4837512969970703,9
VAE+APA-RCA,A2_etl_logic_error,small,6,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,10.0,0,0,0,0.1,1.0,0.42700767517089844,9
APA-RCA-v2,A2_etl_logic_error,small,7,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4820823669433594,9
VAE+APA-RCA,A2_etl_logic_error,small,7,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.46896934509277344,9
APA-RCA-v2,A2_etl_logic_error,small,8,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4649162292480469,9
VAE+APA-RCA,A2_etl_logic_error,small,8,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,7.0,0,0,0,0.14285714285714285,1.0,0.43702125549316406,9
APA-RCA-v2,A2_etl_logic_error,small,9,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4889965057373047,9
VAE+APA-RCA,A2_etl_logic_error,small,9,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.47016143798828125,9
APA-RCA-v2,A2_etl_logic_error,small,10,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5011558532714844,9
VAE+APA-RCA,A2_etl_logic_error,small,10,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.4470348358154297,9
APA-RCA-v2,A2_etl_logic_error,small,11,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4799365997314453,9
VAE+APA-RCA,A2_etl_logic_error,small,11,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.4608631134033203,9
APA-RCA-v2,A2_etl_logic_error,small,12,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4761219024658203,9
VAE+APA-RCA,A2_etl_logic_error,small,12,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,8.0,0,0,0,0.125,1.0,0.4763603210449219,9
