method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
AnomalyOnly,A1_source_corruption,medium_real,8,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.01621246337890625,1
Schema-Constraint,A1_source_corruption,medium_real,8,SRC_STOCK_9_PRICE,REPORT_LIMIT,9,0,0,0,0.1111111111111111,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,9,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.4220943450927734,9
APA-RCA-v3,A1_source_corruption,medium_real,9,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.558065414428711,9
AnomalyOnly,A1_source_corruption,medium_real,9,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015020370483398438,1
Schema-Constraint,A1_source_corruption,medium_real,9,SRC_STOCK_6_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,10,SRC_STOCK_10_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.7189254760742188,9
APA-RCA-v3,A1_source_corruption,medium_real,10,SRC_STOCK_10_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.367807388305664,9
AnomalyOnly,A1_source_corruption,medium_real,10,SRC_STOCK_10_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015020370483398438,1
Schema-Constraint,A1_source_corruption,medium_real,10,SRC_STOCK_10_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,11,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,3.1118392944335938,9
APA-RCA-v3,A1_source_corruption,medium_real,11,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,1.4071464538574219,9
AnomalyOnly,A1_source_corruption,medium_real,11,SRC_STOCK_2_PRICE,REPORT_LIMIT,9,0,0,0,0.1111111111111111,1.0,0.015974044799804688,1
Schema-Constraint,A1_source_corruption,medium_real,11,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,12,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,7.179975509643555,9
APA-RCA-v3,A1_source_corruption,medium_real,12,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.1202564239501953,9
AnomalyOnly,A1_source_corruption,medium_real,12,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.014781951904296875,1
Schema-Constraint,A1_source_corruption,medium_real,12,SRC_STOCK_8_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,13,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.755880355834961,9
APA-RCA-v3,A1_source_corruption,medium_real,13,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3370513916015625,9
AnomalyOnly,A1_source_corruption,medium_real,13,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015020370483398438,1
Schema-Constraint,A1_source_corruption,medium_real,13,SRC_STOCK_11_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,14,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4278888702392578,9
APA-RCA-v3,A1_source_corruption,medium_real,14,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,8.198976516723633,9
AnomalyOnly,A1_source_corruption,medium_real,14,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015974044799804688,1
Schema-Constraint,A1_source_corruption,medium_real,14,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,15,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4388561248779297,9
APA-RCA-v3,A1_source_corruption,medium_real,15,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.619100570678711,9
AnomalyOnly,A1_source_corruption,medium_real,15,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.014781951904296875,1
Schema-Constraint,A1_source_corruption,medium_real,15,SRC_STOCK_12_PRICE,REPORT_LIMIT,12,0,0,0,0.08333333333333333,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,16,SRC_STOCK_7_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4500617980957031,9
APA-RCA-v3,A1_source_corruption,medium_real,16,SRC_STOCK_7_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3637542724609375,9
AnomalyOnly,A1_source_corruption,medium_real,16,SRC_STOCK_7_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015974044799804688,1
Schema-Constraint,A1_source_corruption,medium_real,16,SRC_STOCK_7_PRICE,REPORT_LIMIT,7,0,0,0,0.14285714285714285,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,17,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,3.4699440002441406,9
APA-RCA-v3,A1_source_corruption,medium_real,17,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,3.4019947052001953,9
AnomalyOnly,A1_source_corruption,medium_real,17,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.014781951904296875,1
Schema-Constraint,A1_source_corruption,medium_real,17,SRC_STOCK_9_PRICE,REPORT_LIMIT,9,0,0,0,0.1111111111111111,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,18,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.5301704406738281,9
