method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
CVAE+APA-RCA,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4799365997314453,9
APA-RCA-v2,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4811286926269531,9
CVAE+APA-RCA,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4811286926269531,9
APA-RCA-v2,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5097389221191406,9
CVAE+APA-RCA,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47707557678222656,9
APA-RCA-v2,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.48995018005371094,9
CVAE+APA-RCA,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4801750183105469,9
APA-RCA-v2,A1_source_corruption,small,20,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47278404235839844,9
CVAE+APA-RCA,A1_source_corruption,small,20,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.45800209045410156,9
APA-RCA-v2,A1_source_corruption,small,21,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4870891571044922,9
CVAE+APA-RCA,A1_source_corruption,small,21,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.6608963012695312,9
APA-RCA-v2,A1_source_corruption,small,22,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.45418739318847656,9
CVAE+APA-RCA,A1_source_corruption,small,22,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4620552062988281,9
APA-RCA-v2,A1_source_corruption,small,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.45013427734375,9
CVAE+APA-RCA,A1_source_corruption,small,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4830360412597656,9
APA-RCA-v2,A1_source_corruption,small,24,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47206878662109375,9
CVAE+APA-RCA,A1_source_corruption,small,24,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4642009735107422,9
APA-RCA-v2,A1_source_corruption,small,25,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.45490264892578125,9
CVAE+APA-RCA,A1_source_corruption,small,25,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4620552062988281,9
APA-RCA-v2,A1_source_corruption,small,26,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4830360412597656,9
CVAE+APA-RCA,A1_source_corruption,small,26,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47397613525390625,9
APA-RCA-v2,A1_source_corruption,small,27,SRC_STOCK_1_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4889965057373047,9
CVAE+APA-RCA,A1_source_corruption,small,27,SRC_STOCK_1_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.49185752868652344,9
APA-RCA-v2,A1_source_corruption,small,28,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4661083221435547,9
CVAE+APA-RCA,A1_source_corruption,small,28,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.46896934509277344,9
APA-RCA-v2,A1_source_corruption,small,29,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5052089691162109,9
CVAE+APA-RCA,A1_source_corruption,small,29,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5118846893310547,9
APA-RCA-v2,A2_etl_logic_error,small,0,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.5052089691162109,9
CVAE+APA-RCA,A2_etl_logic_error,small,0,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.5340576171875,9
APA-RCA-v2,A2_etl_logic_error,small,1,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.4858970642089844,9
CVAE+APA-RCA,A2_etl_logic_error,small,1,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,5.0,0,0,1,0.2,0.8,0.48804283142089844,9
APA-RCA-v2,A2_etl_logic_error,small,2,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4992485046386719,9
CVAE+APA-RCA,A2_etl_logic_error,small,2,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.5950927734375,9
APA-RCA-v2,A2_etl_logic_error,small,3,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.46896934509277344,9
