method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
AnomalyOnly,A2_etl_logic_error,medium_real,5,ETL_FX_STOCK_4_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.008106231689453125,1
APA-RCA-v2,A2_etl_logic_error,medium_real,6,ETL_FX_STOCK_3_PRICE,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.7050037384033203,9
AnomalyOnly,A2_etl_logic_error,medium_real,6,ETL_FX_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.007152557373046875,1
APA-RCA-v2,A2_etl_logic_error,medium_real,7,ETL_FX_STOCK_5_PRICE,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.6520748138427734,9
AnomalyOnly,A2_etl_logic_error,medium_real,7,ETL_FX_STOCK_5_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0069141387939453125,1
APA-RCA-v2,A2_etl_logic_error,medium_real,8,ETL_FX_STOCK_4_PRICE,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.6890296936035156,9
AnomalyOnly,A2_etl_logic_error,medium_real,8,ETL_FX_STOCK_4_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0069141387939453125,1
APA-RCA-v2,A2_etl_logic_error,medium_real,9,ETL_FX_STOCK_3_PRICE,REPORT_DASHBOARD,30,0,0,0,0.03333333333333333,1.0,0.6489753723144531,9
AnomalyOnly,A2_etl_logic_error,medium_real,9,ETL_FX_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0069141387939453125,1
APA-RCA-v2,A3_feature_calc_error,medium_real,0,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,55,0,0,0,0.01818181818181818,1.0,0.6639957427978516,9
AnomalyOnly,A3_feature_calc_error,medium_real,0,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,56,0,0,0,0.017857142857142856,1.0,0.007152557373046875,1
APA-RCA-v2,A3_feature_calc_error,medium_real,1,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,38,0,0,0,0.02631578947368421,1.0,0.6780624389648438,9
AnomalyOnly,A3_feature_calc_error,medium_real,1,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.0069141387939453125,1
APA-RCA-v2,A3_feature_calc_error,medium_real,2,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,55,0,0,0,0.01818181818181818,1.0,0.6620883941650391,9
AnomalyOnly,A3_feature_calc_error,medium_real,2,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,56,0,0,0,0.017857142857142856,1.0,0.0069141387939453125,1
APA-RCA-v2,A3_feature_calc_error,medium_real,3,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,55,0,0,0,0.01818181818181818,1.0,0.6470680236816406,9
AnomalyOnly,A3_feature_calc_error,medium_real,3,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,56,0,0,0,0.017857142857142856,1.0,0.0069141387939453125,1
APA-RCA-v2,A3_feature_calc_error,medium_real,4,FEAT_VOL20_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6339550018310547,9
AnomalyOnly,A3_feature_calc_error,medium_real,4,FEAT_VOL20_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A3_feature_calc_error,medium_real,5,FEAT_VOL20_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6682872772216797,9
AnomalyOnly,A3_feature_calc_error,medium_real,5,FEAT_VOL20_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.007152557373046875,1
APA-RCA-v2,A3_feature_calc_error,medium_real,6,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,38,0,0,0,0.02631578947368421,1.0,0.6787776947021484,9
AnomalyOnly,A3_feature_calc_error,medium_real,6,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.007152557373046875,1
APA-RCA-v2,A3_feature_calc_error,medium_real,7,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,55,0,0,0,0.01818181818181818,1.0,1.0497570037841797,9
AnomalyOnly,A3_feature_calc_error,medium_real,7,FEAT_VOL20_STOCK_5_PRICE,REPORT_LIMIT,56,0,0,0,0.017857142857142856,1.0,0.0069141387939453125,1
APA-RCA-v2,A3_feature_calc_error,medium_real,8,FEAT_VOL20_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.8130073547363281,9
AnomalyOnly,A3_feature_calc_error,medium_real,8,FEAT_VOL20_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.007867813110351562,1
