method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.47206878662109375,9
Schema-Constraint,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.45800209045410156,9
Schema-Constraint,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,20,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.46896934509277344,9
Schema-Constraint,A1_source_corruption,small,20,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,21,SRC_STOCK_1_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.4563331604003906,9
Schema-Constraint,A1_source_corruption,small,21,SRC_STOCK_1_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.0,0
APA-RCA,A1_source_corruption,small,22,SRC_STOCK_3_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4680156707763672,9
Schema-Constraint,A1_source_corruption,small,22,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4572868347167969,9
Schema-Constraint,A1_source_corruption,small,23,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
APA-RCA,A1_source_corruption,small,24,SRC_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4680156707763672,9
Schema-Constraint,A1_source_corruption,small,24,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,25,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4611015319824219,9
Schema-Constraint,A1_source_corruption,small,25,SRC_STOCK_2_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,26,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.4830360412597656,9
Schema-Constraint,A1_source_corruption,small,26,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,27,SRC_STOCK_1_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4589557647705078,9
Schema-Constraint,A1_source_corruption,small,27,SRC_STOCK_1_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.0,0
APA-RCA,A1_source_corruption,small,28,SRC_STOCK_2_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.46324729919433594,9
Schema-Constraint,A1_source_corruption,small,28,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,29,SRC_STOCK_3_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4563331604003906,9
Schema-Constraint,A1_source_corruption,small,29,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A2_etl_logic_error,small,0,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4379749298095703,9
Schema-Constraint,A2_etl_logic_error,small,0,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,1,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4589557647705078,9
Schema-Constraint,A2_etl_logic_error,small,1,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
